# Echo 22 focal plane parameters calculated from model in DESI-4037v6.							
# The plate scale varies with radius, and is different in the							
# meridional (radial) direction vs. the							
# sagittal (tangential/azimuthal) direction.  The table below							
# contains the F/#, Focal Length, and Plate Scale vs. radius for							
# both the meridional and sagittal orientations at that radius.							
							
# Columns:							
# - Radius : radius from center of focal plane [mm]							
# - Theta radial angle that has a centroid at this radius [deg]							
# - MF/# : Meridional F/#							
# - SF/# : Sagittal F/#							
# - MFL  : Meridional focal length [m]							
# - SFL  : Sagittal focal length [m]							
# - MPS  : Meridional plate scale [um/arcsec]							
# - SPS  : Sagittal plate scale [um/arcsec]							
# Radius	Theta	MF/#	SF/#	MFL	SFL	MPS	SPS
178.289158820	0.727447043	3.776964278	3.709474530	14.289366520	14.042092613	69.276745315	68.077928598
179.269962258	0.731379188	3.778063088	3.709827223	14.293396791	14.043421013	69.296284605	68.084368853
180.251058300	0.735311338	3.779168168	3.710181868	14.297449738	14.044756686	69.315933830	68.090844378
181.232434898	0.739243483	3.780279518	3.710538460	14.301525387	14.046099637	69.335693120	68.097355183
182.214093625	0.743175628	3.781397148	3.710897000	14.305623765	14.047449869	69.355562600	68.103901288
183.196036065	0.747107773	3.782521063	3.711257498	14.309744899	14.048807386	69.375542403	68.110482713
184.178263783	0.751039920	3.783651265	3.711619943	14.313888817	14.050172193	69.395632665	68.117099478
185.160778368	0.754972068	3.784787765	3.711984340	14.318055546	14.051544294	69.415833523	68.123751603
186.143581393	0.758904213	3.785930565	3.712350690	14.322245115	14.052923692	69.436145108	68.130439110
187.126674443	0.762836358	3.787079670	3.712718998	14.326457551	14.054310392	69.456567558	68.137162015
188.110059090	0.766768503	3.788235088	3.713089258	14.330692884	14.055704398	69.477101015	68.143920340
189.093736930	0.770700653	3.789396823	3.713461475	14.334951142	14.057105714	69.497745620	68.150714108
190.077709535	0.774632798	3.790564880	3.713835650	14.339232355	14.058514346	69.518501503	68.157543340
191.061978503	0.778564943	3.791739263	3.714211783	14.343536551	14.059930296	69.539368820	68.164408055
192.046545415	0.782497088	3.792919983	3.714589875	14.347863762	14.061353571	69.560347708	68.171308280
193.031411858	0.786429238	3.794107043	3.714969925	14.352214016	14.062784174	69.581438320	68.178244030
194.016579433	0.790361383	3.795300445	3.715351938	14.356587344	14.064222110	69.602640795	68.185215335
195.002049718	0.794293528	3.796500205	3.715735908	14.360983777	14.065667383	69.623955288	68.192222213
195.987824310	0.798225673	3.797706318	3.716121845	14.365403346	14.067119999	69.645381940	68.199264688
196.973904808	0.802157820	3.798918793	3.716509748	14.369846080	14.068579962	69.666920905	68.206342783
197.960292800	0.806089968	3.800137638	3.716899613	14.374312013	14.070047278	69.688572343	68.213456525
198.946989895	0.810022113	3.801362858	3.717291445	14.378801175	14.071521950	69.710336395	68.220605933
199.933997678	0.813954258	3.802594463	3.717685245	14.383313598	14.073003984	69.732213220	68.227791028
200.921317758	0.817886408	3.803832450	3.718081008	14.387849315	14.074493386	69.754202975	68.235011843
201.908951733	0.821818553	3.805076830	3.718478743	14.392408357	14.075990159	69.776305815	68.242268400
202.896901208	0.825750698	3.806327610	3.718878445	14.396990757	14.077494310	69.798521898	68.249560723
203.885167790	0.829682843	3.807584795	3.719280118	14.401596547	14.079005843	69.820851385	68.256888833
204.873753078	0.833614990	3.808848393	3.719683765	14.406225762	14.080524763	69.843294430	68.264252765
205.862658683	0.837547138	3.810118405	3.720089385	14.410878433	14.082051077	69.865851200	68.271652533
206.851886210	0.841479283	3.811394848	3.720496978	14.415554595	14.083584789	69.888521853	68.279088178
207.841437280	0.845411428	3.812677713	3.720906545	14.420254280	14.085125905	69.911306548	68.286559708
208.831313495	0.849343573	3.813967018	3.721318085	14.424977523	14.086674430	69.934205458	68.294067163
209.821516475	0.853275723	3.815262765	3.721731608	14.429724358	14.088230370	69.957218740	68.301610568
210.812047828	0.857207868	3.816564965	3.722147105	14.434494818	14.089793730	69.980346565	68.309189945
211.802909175	0.861140013	3.817873618	3.722564583	14.439288938	14.091364517	70.003589098	68.316805330
212.794093170	0.865072158	3.819188730	3.722984043	14.444106753	14.092942735	70.026946500	68.324456738
213.785619543	0.869004308	3.820510315	3.723405475	14.448948297	14.094528390	70.050418950	68.332144205
214.777480760	0.872936453	3.821838373	3.723828895	14.453813605	14.096121489	70.074006605	68.339867760
215.769678448	0.876868598	3.823172918	3.724254303	14.458702711	14.097722037	70.097709645	68.347627428
216.762214235	0.880800743	3.824513948	3.724681690	14.463615652	14.099330040	70.121528238	68.355423243
217.755089750	0.884732890	3.825861475	3.725111063	14.468552462	14.100945504	70.145462545	68.363255228
218.748306608	0.888665038	3.827215508	3.725542423	14.473513177	14.102568435	70.169512748	68.371123405
219.741866445	0.892597183	3.828576040	3.725975773	14.478497831	14.104198838	70.193679018	68.379027823
220.735770890	0.896529328	3.829943095	3.726411110	14.483506462	14.105836721	70.217961520	68.386968495
221.730021580	0.900461473	3.831316673	3.726848435	14.488539104	14.107482089	70.242360435	68.394945460
222.724620138	0.904393623	3.832696785	3.727287753	14.493595793	14.109134949	70.266875935	68.402958743
223.719568213	0.908325768	3.834083430	3.727729060	14.498676565	14.110795306	70.291508198	68.411008375
224.714867430	0.912257913	3.835476620	3.728172363	14.503781457	14.112463168	70.316257383	68.419094385
225.710519430	0.916190060	3.836876363	3.728617663	14.508910503	14.114138539	70.341123685	68.427216810
226.706525858	0.920122208	3.838282670	3.729064950	14.514063741	14.115821427	70.366107268	68.435375675
227.702888353	0.924054353	3.839695535	3.729514243	14.519241206	14.117511839	70.391208303	68.443571015
228.699608560	0.927986498	3.841114985	3.729965530	14.524442935	14.119209780	70.416426978	68.451802860
229.696688120	0.931918643	3.842541005	3.730418813	14.529668964	14.120915257	70.441763460	68.460071238
230.694128680	0.935850793	3.843973620	3.730874100	14.534919329	14.122628277	70.467217925	68.468376185
231.691931895	0.939782938	3.845412833	3.731331390	14.540194067	14.124348846	70.492790553	68.476717730
